normalized_ipc normalized_ipc normalized_ipc normalized_ipc normalized_ipc normalized_ipc normalized_ipc normalized_ipc normalized_ipc
0.5430153904 0.716063281 0.9322565947 0.9223593633 0.7831303575 0.7072480323 0.4992859484 0.4303875327 1.011936743
0.4724834429 0.6391163014 0.9016195174 0.852457742 0.6674729737 0.669213476 0.43901297 0.3624800816 0.9385978269
0.4652478258 0.6504282795 0.9062515092 0.8625489807 0.708072294 0.6312564411 0.4308950227 0.3623271082 1.016722317
0.4115392774 0.5796959827 0.8758579998 0.8030840898 0.603828611 0.6118601056 0.3850845156 0.3129055389 0.9126687187
0.406655825 0.593459308 0.8820248901 0.7918268165 0.6356321374 0.5676580299 0.3781137332 0.3130107081 1.0159501
0.3644017064 0.5296866189 0.8506445104 0.7546864518 0.5484141765 0.5627844355 0.3427915906 0.2757584932 0.8888822423
0.3610360838 0.545332135 0.8592260836 0.7226536071 0.5737444463 0.5194339562 0.337219647 0.2756405762 1.017130178
0.9849536873 1.042984889 0.9879769786 0.9771198079 1.047591806 1.060104244 1.09136934 1.012253808 0.9874269928
0.8938839002 1.122965973 1.006072403 1.02237635 1.080629666 1.073592985 1.038950929 1.082736312 1.008929445
1.009814042 1.124993592 1.008997319 1.022307252 1.081130239 1.076321058 1.076602519 1.084391931 1.008929445
0.937900964 0.994081404 0.9782300584 0.9452539508 1.023259574 1.049553339 1.099399494 0.9214003442 0.9734998858
0.8939687478 1.118862608 1.005303904 1.023073092 1.078024195 1.073133556 1.042082221 1.081800943 1.01024004
1.00652384 1.119880603 1.006952187 1.022431053 1.075120246 1.076302817 1.07940605 1.08336414 1.01024004
0.90207641 0.9390699528 0.9680631933 0.9086519775 0.996464893 1.039327341 1.100213045 0.8514389062 0.9586537311
0.8935822197 1.109522798 1.004768474 1.023156586 1.076071647 1.075898109 1.044165847 1.079025113 1.011425557
1.00411511 1.111058683 1.006693921 1.021751586 1.068174399 1.078789205 1.080365922 1.080312639 1.011425557
